	CON1	CON2	CON3	CON4	NPT1	NPT2	NPT3	NPT4
Ccl21b	0	0	1	0	0	0	0	0
Vmn2r55	0	0	0	0	0	0	0	3
Ndufb4b	10	16	15	9	5	5	8	7
Sprr2a3	0	0	0	0	0	0	1	0
Gm11578	0	0	0	0	0	0	0	0
Gm13305	0	0	0	0	0	0	0	0
Gm20928	0	0	0	0	0	0	0	0
Gm20929	0	0	0	0	0	1	0	1
Vmn2r31	0	0	0	0	0	1	0	1
Gm20931	0	0	0	0	0	0	0	0
Gstp-ps	0	0	0	0	0	0	0	0
Vmn2r34	0	0	0	0	0	0	0	0
Vmn2r36	0	0	0	0	0	0	2	1
Gm20934	0	0	0	0	0	0	0	0
Or4x18	0	0	0	0	0	0	0	0
Gm3973	0	0	0	0	0	0	1	1
Gm3985	0	0	0	0	0	0	0	0
Tdpoz7	0	0	0	0	0	0	0	0
Tmed10-ps	93	118	69	85	102	88	71	58
Eif1ad6	0	0	1	1	0	0	0	2
Vmn2r40	0	0	0	0	0	0	0	0
Fthl17d	0	0	0	0	0	0	0	0
Prdm11	532	575	414	586	883	641	469	400
Cldn25	0	0	0	0	0	0	1	0
Ubl5b	0	0	0	7	0	0	0	0
Eif3j2	11	7	17	23	27	29	42	35
Vmn2r45	0	0	0	0	0	0	1	0
H2al2b	0	0	0	0	0	0	0	0
Vmn2r41	0	0	0	0	0	0	0	2
Gm4064	0	0	0	0	0	0	0	0
Gm10267	0	0	0	0	0	0	0	0
Gvin2	105	188	163	101	103	76	93	71
Gm10256	0	0	0	0	0	0	0	0
Gm10352	0	0	0	0	0	0	0	0
Vmn2r47	0	0	0	0	0	0	0	0
Vmn2r46	0	0	0	0	0	0	0	0
Vmn2r51	1	0	0	0	0	0	0	0
H2al1a	0	0	0	1	0	0	0	0
H2al1b	0	0	0	0	0	0	0	0
H2al1c	0	0	0	0	0	0	0	0
H2al1d	0	0	0	0	0	0	0	0
H2al1f	0	0	0	0	0	0	0	0
H2al1g	0	0	0	0	0	0	0	0
H2al1h	0	0	0	0	0	0	0	0
Gm4120	1	0	0	0	0	0	0	0
H2al1i	0	1	0	1	0	0	0	0
Nfilz	0	0	0	0	0	1	0	0
Gm4131	1	0	0	0	0	0	0	0
Vmn1r243	0	0	0	0	0	0	0	0
Vmn1r101	0	0	0	0	0	0	0	0
Gm10670	0	0	0	0	0	0	0	0
Vmn1r246	0	0	0	0	0	0	0	0
Vmn1r114	0	0	0	0	0	0	0	0
Llph-ps2	1	2	1	1	5	8	0	2
Vmn1r126	0	0	0	0	0	0	0	0
Vmn1r131	0	0	0	0	0	0	0	0
Vmn1r247	0	0	0	0	0	0	0	0
Vmn1r248	0	0	0	0	0	0	0	0
Vmn1r138	0	0	0	0	0	0	0	0
Gm16451	0	0	0	0	0	0	0	0
Rex2	0	2	0	0	2	2	0	1
Vmn1r250	0	0	0	0	0	0	0	1
Vmn1r253	0	0	0	0	0	0	0	0
Vmn1r149	0	0	0	0	0	0	0	0
Tmem207	0	0	0	1	0	0	0	0
Gm10665	0	0	0	0	0	0	0	0
Gm4199	1	5	2	5	2	2	4	7
Vmn1r256	0	0	0	0	0	0	0	0
Vmn1r158	0	0	0	0	0	0	0	3
Vmn1r258	0	0	0	0	0	0	0	0
Vmn1r259	0	0	0	0	0	0	0	0
Vmn1r166	0	0	0	0	1	0	0	0
Vmn1r168	0	0	0	0	0	0	0	1
Vmn1r169	0	0	0	0	0	0	0	0
Cyp2c69	0	0	0	0	0	0	1	1
Cd300ld4	9	6	13	5	20	4	1	14
Cd300ld5	0	0	0	0	0	0	0	0
9130023H24Rik	133	171	143	124	185	172	140	128
Spopfm2	0	0	0	0	0	0	0	0
Sult2a2	0	0	0	0	0	0	0	0
Or10u4	0	0	0	0	0	0	0	0
Amy2a1	0	0	0	0	1	0	0	2
Gm4297	0	0	0	0	0	1	0	0
Gm4301	0	0	0	0	0	0	0	0
Gm4302	0	0	0	0	0	0	0	0
Gm4303	0	0	0	0	0	0	0	0
Gm4305	0	0	0	0	0	0	0	0
Gm4307	0	0	0	0	0	0	0	0
Gm4312	0	0	0	0	0	0	0	0
Nps	1	0	2	0	4	1	3	3
Rbm3-ps	0	0	0	0	0	0	0	0
Inafm2	565	759	667	645	838	816	680	494
Gm4340	0	0	0	0	0	0	0	0
Esp16	0	0	0	0	0	0	0	4
Tigit	5	9	9	12	42	38	30	13
Bnip3l-ps	68	89	87	68	88	72	79	70
Scgb2b3	0	0	0	0	0	0	0	1
Ankrd66	60	58	58	89	23	10	8	25
Gm14308	1	1	1	0	0	0	0	1
Gm14305	168	206	222	196	228	225	189	266
Gm14410	296	429	434	329	407	393	340	498
Hsd3b8	0	0	0	0	0	0	0	0
Hsd3b9	4	2	6	13	13	13	9	5
Gm4454	0	0	0	0	0	0	0	0
Zfp955b	437	541	493	511	479	433	395	409
Or10h5	0	1	0	0	1	0	0	2
Nat8f7	7	10	4	14	1	4	4	6
Ptges3-ps	242	323	260	309	447	414	337	399
Gm4491	0	0	0	1	2	0	0	0
Vmn1r242	0	0	0	0	0	0	0	0
Vmn1r100	0	0	0	0	0	0	0	0
Gm10668	0	0	0	0	0	0	0	0
Vmn1r112	0	0	0	0	0	0	0	0
Vmn1r130	0	0	0	0	0	0	0	0
Srcap	2737	3161	2206	3385	3760	2920	2083	1735
Vmn1r132	0	0	0	0	0	0	0	0
Vmn1r137	0	0	0	0	0	0	0	0
Gm4553	0	0	0	0	0	0	0	0
Gm4559	0	0	0	0	0	0	2	0
Gm10013	0	0	0	0	0	0	0	2
Gm4565	0	0	0	0	0	0	0	0
Gm4567	0	0	0	0	0	0	0	0
Gm10662	0	0	0	0	0	0	0	0
Vmn1r165	0	0	0	0	0	0	0	0
Amy2a4	0	0	0	0	0	0	0	0
Amy2a3	0	0	0	0	0	0	0	0
Amy2a2	0	0	0	0	0	0	0	0
Gm15483	24	20	19	22	30	27	19	10
Gm4606	0	0	0	0	0	0	0	0
Zfp831	229	296	179	289	152	85	74	88
Gm14399	532	585	525	503	510	512	376	532
Zfp850	129	192	188	182	249	229	209	247
Gm10224	2	1	1	0	1	5	4	0
Rps27rt	131	230	214	221	189	192	185	262
Scgb2b1	0	0	0	0	0	0	0	0
Scgb2b7	2	0	0	0	0	0	0	2
Scgb2b11	0	0	0	0	0	0	0	0
Scgb2b18	0	0	0	0	0	0	0	1
Scgb1b24	0	0	0	0	0	0	0	1
Klrb1	3	4	6	5	8	2	2	0
Scgb1b26-ps	0	0	0	0	0	0	0	0
Scgb1b30	4	0	2	2	3	9	3	2
Gm4701	0	0	0	0	0	0	0	0
R3hdml	0	0	0	0	2	2	0	4
Zfp968	6	4	4	4	4	4	0	3
Gm4724	19	5	2	1	1	6	0	4
Fam205a4	5	4	5	5	2	5	3	3
Gm20939	107	136	147	113	116	107	126	156
Tgfbr3l	57	55	36	66	54	35	29	26
Gm17768	1	0	0	1	1	0	1	5
Rnf223	2	9	0	0	10	4	2	1
Ect2l	217	201	179	305	70	62	30	57
Gm15266	0	0	0	0	0	0	0	2
Gm17778	1	0	1	0	1	0	2	1
Cd200l2	0	0	0	0	2	0	3	0
Cfap43	1080	1316	1134	1832	614	523	403	499
Pet117	0	0	0	0	0	0	0	0
Ddx43	7	7	5	6	20	50	73	35
Mup18	0	0	0	0	0	0	0	0
Lrrc19	89	63	75	96	80	69	70	107
Cyp2j11	0	0	0	0	0	0	2	0
Camta1	829	843	683	931	956	918	622	626
Yy2	162	156	171	162	230	180	157	209
Kti12	138	151	127	186	274	249	180	142
Rcc1	84	108	72	95	256	178	160	116
Zbtb48	173	183	128	192	286	256	143	136
Srp54c	207	243	263	271	329	405	365	342
Fam177a2	4	4	8	10	7	105	9	40
Dnah7c	0	0	0	0	0	0	0	0
Pcsk9	13	9	11	23	32	31	7	25
Nlgn4l	155	93	91	139	214	144	114	79
Adat3	37	41	22	40	54	44	32	32
Tdrd7	1193	1385	1160	1349	1840	1591	1179	1176
Vmn2r2	6	2	0	0	5	3	10	6
Krt83	0	0	0	0	7	7	2	8
Esp36	0	0	0	0	0	0	2	0
Esp3	0	0	0	0	0	0	0	0
Esp31	0	0	0	0	0	0	0	0
Esp34	0	0	0	0	0	0	0	2
Esp18	1	0	0	0	0	0	0	0
Esp38	0	0	0	0	0	0	0	0
Esp24	0	0	0	0	0	0	0	0
Esp4	0	0	0	0	0	0	0	0
Esp8	0	0	0	0	0	0	0	4
Esp23	0	0	0	0	0	0	0	2
Sco2	0	0	0	0	0	0	1	0
Gpr153	279	300	249	332	423	314	177	163
Rhox3c	0	0	0	0	0	0	0	0
Rhox3e	0	0	0	0	0	0	0	0
Shoc1	7	17	9	6	7	12	12	22
Pafah2	412	518	413	520	670	681	370	376
Phactr4	720	802	608	720	1036	899	518	442
Gm44504	4	2	0	0	1	3	0	0
Gm3173	0	0	1	3	2	0	1	1
EU599041	2	0	0	0	0	0	1	1
Zmym6	467	709	561	587	803	810	590	552
Akna	813	978	709	1067	1036	716	447	428
Israa	76	114	59	116	95	101	49	38
Mup19	0	0	2	0	0	0	0	0
Krtap10-4	0	0	0	0	0	0	0	0
H6pd	2829	3680	3068	3219	6652	5591	3618	2961
Tmem64	595	800	660	783	675	617	535	484
Adprs	213	262	195	239	360	316	206	245
Gpn2	88	113	83	155	176	172	131	143
Rusc2	1969	2375	1910	2156	3503	2618	1913	1558
Gm14124	0	4	5	2	3	4	7	0
Ttll2	1	0	0	4	0	0	0	3
Stx12	1198	1522	1386	1351	1974	1878	1558	1410
Gon7	46	86	47	76	96	75	45	65
Spmip2	5	14	10	19	11	7	15	8
Gm10778	26	24	22	23	23	26	28	41
Btbd18	11	12	3	12	14	14	6	10
Gm17660	6	3	5	2	12	0	8	7
Gm14139	3	2	1	0	1	2	2	4
Gm15881	12	3	3	7	1	0	3	8
Osbpl9	2305	3189	2947	2919	4536	4704	4206	3435
Alkal2	5	10	12	9	8	8	6	0
Defa2	0	0	0	0	0	0	0	0
Gm17455	2	1	2	4	7	0	1	5
Zfp967	7	11	10	7	14	6	10	18
Sprr2a2	0	1	0	0	0	0	0	0
Gm10509	130	206	231	195	244	271	315	243
Dynlt1a	44	36	40	32	49	37	31	25
Vmn1r2	0	0	0	0	0	0	0	0
Vmn1r3	0	0	0	0	0	0	0	1
Vmn1r86	0	0	0	0	1	0	3	4
Vmn1r88	0	0	0	0	1	2	1	1
Vmn1r95	0	0	0	0	0	0	0	0
Vmn1r238	0	0	0	0	0	0	0	0
Vmn1r184	0	0	0	0	0	0	0	2
Vmn1r196	0	0	0	0	0	0	0	1
Vmn1r221	0	0	0	0	0	0	0	1
Pate8	0	1	0	0	0	0	0	0
Pate10	0	0	0	0	0	0	0	6
Pate3	1	0	1	0	3	2	5	4
Pate7	0	0	0	0	0	0	0	1
Pate1	1	0	0	1	0	3	0	0
AU040320	709	807	605	836	1256	1052	666	559
Dthd1	11	20	23	36	3	0	1	12
Il4i1b	8	5	8	11	5	5	8	3
Ppp1r8	347	391	322	415	612	552	413	283
Smpdl3b	33	76	43	63	32	51	39	43
Tent5b	150	139	169	222	562	751	768	476
Bsdc1	510	752	553	620	1098	952	583	511
Gm37013	0	0	0	0	0	0	0	0
Gm11559	0	0	0	0	0	0	0	0
Zfp582	9	13	17	12	14	8	4	14
Zfp729b	459	682	719	580	700	853	752	989
Gm18336	2	3	1	0	3	0	5	2
Adh6b	2	6	5	4	3	3	3	4
Slc44a1	2033	2663	2573	2397	3363	2850	2015	2302
Krtap29-1	0	0	0	0	0	0	2	0
Mtrnr2l7	0	0	0	0	0	0	0	0
Mob3c	390	419	416	408	528	516	345	252
Lao1	0	1	0	0	0	0	0	0
Zfand2a	378	467	450	470	850	882	694	576
Tex50	0	0	0	0	0	0	0	0
Gm4736	0	0	0	0	0	0	0	1
Gm10015	57	95	59	67	86	64	42	59
Rubcn	928	1089	925	1192	1602	1315	894	849
Tsga8	0	1	1	3	1	1	2	0
Gm19340	2	3	1	1	4	0	8	5
Gm19345	3	2	1	6	3	3	2	1
Kifc1	16	28	11	23	23	17	9	8
Gm11562	0	0	0	0	0	1	0	0
Rpl37rt	123	215	169	197	195	220	210	184
Gm19402	0	0	0	0	0	0	0	0
Epg5	1254	1477	1148	1557	1799	1634	1090	941
Gm19410	3	3	0	5	7	6	4	2
Ccdc13	105	107	72	188	66	48	24	32
2300003K06Rik	0	0	0	0	0	0	0	0
Kcnmb3	121	177	119	175	196	219	170	139
Gm19428	0	0	0	0	0	0	1	0
Or2t49	0	0	0	0	0	0	0	0
Gm11238	0	0	0	0	0	0	0	0
Gm10142	0	0	0	0	0	0	0	0
Gm38423	0	0	0	0	0	0	0	0
Gm19457	0	0	0	0	0	0	0	0
Ube2q2l	6	2	3	5	3	2	3	10
Pou2af3	40	46	36	58	34	26	20	30
Gm17353	0	0	0	0	0	0	0	0
Gm3336	24	22	23	23	56	43	37	56
Gm10100	0	0	0	0	0	0	0	0
Gm19470	2	0	5	0	0	0	1	5
